articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
-2022,0.93,0.92,other,1.0752688172043021,MINOR_ERROR,NA
-2022,0.93,106,other,11297.84946236559,MINOR_ERROR,NA
-2022,0.93,18,other,1835.483870967742,MINOR_ERROR,NA
-2022,0.93,0,other,100,MINOR_ERROR,NA
-2022,0.93,NA,other,NA,MINOR_ERROR,NA
-2022,0.9,0.9,other,0,MATCH,NA
-2022,0.9,106,other,11677.777777777777,MATCH,NA
-2022,0.9,18,other,1900,MATCH,NA
-2022,0.9,0,other,100,MATCH,NA
-2022,0.9,NA,other,NA,MATCH,NA
-2022,3.99,3.99,mean,0,MATCH,NA
-2022,3.74,3.74,ci,0,MATCH,NA
-2022,4.24,4.24,ci,0,MATCH,NA
-2022,1.32,1.32,sd,0,MATCH,NA
-2022,3.54,3.54,mean,0,MATCH,NA
-2022,3.34,3.34,ci,0,MATCH,NA
-2022,3.73,3.73,ci,0,MATCH,NA
-2022,1.01,1.01,sd,0,MATCH,NA
-2022,2.84,2.84,mean,0,MATCH,NA
-2022,2.64,2.64,ci,0,MATCH,NA
-2022,3.05,3.05,ci,0,MATCH,NA
-2022,3.81,3.81,mean,0,MATCH,NA
-2022,3.6,3.6,ci,0,MATCH,NA
-2022,4.03,4.03,ci,0,MATCH,NA
-2022,3.95,3.95,mean,0,MATCH,NA
-2022,3.73,3.73,ci,0,MATCH,NA
-2022,4.18,4.18,ci,0,MATCH,NA
-2022,4.34,4.34,mean,0,MATCH,NA
-2022,4.1,4.1,ci,0,MATCH,NA
-2022,4.58,4.58,ci,0,MATCH,NA
-2022,1.25,1.25,sd,0,MATCH,NA
-2022,3.82,3.82,mean,0,MATCH,NA
-2022,3.65,3.65,ci,0,MATCH,NA
-2022,4,4,ci,0,MATCH,NA
-2022,0.89,0.89,sd,0,MATCH,NA
-2022,3.25,3.25,mean,0,MATCH,NA
-2022,3.06,3.06,ci,0,MATCH,NA
-2022,3.44,3.44,ci,0,MATCH,NA
-2022,4.04,4.04,mean,0,MATCH,NA
-2022,3.84,3.84,ci,0,MATCH,NA
-2022,4.23,4.23,ci,0,MATCH,NA
-2022,4.19,4.19,mean,0,MATCH,NA
-2022,4,4,ci,0,MATCH,NA
-2022,4.38,4.38,ci,0,MATCH,NA
-2022,0.35,0.35,mean,0,MATCH,NA
-2022,0.11,0.11,ci,0,MATCH,NA
-2022,0.59,0.59,ci,0,MATCH,NA
-2022,0.29,0.29,mean,0,MATCH,NA
-2022,0.1,0.1,ci,0,MATCH,NA
-2022,0.47,0.47,ci,0,MATCH,NA
-2022,0.4,0.4,mean,0,MATCH,NA
-2022,0.19,0.19,ci,0,MATCH,NA
-2022,0.62,0.62,ci,0,MATCH,NA
-2022,0.22,0.22,mean,0,MATCH,NA
-2022,0.03,0.03,ci,0,MATCH,NA
-2022,0.42,0.42,ci,0,MATCH,NA
-2022,0.23,0.23,mean,0,MATCH,NA
-2022,0.02,0.02,ci,0,MATCH,NA
-2022,0.45,0.45,ci,0,MATCH,NA
-2022,2.88,2.88,t,0,MATCH,NA
-2022,0.005,0.005,p,0,MATCH,NA
-2022,0.27,0.28,d,3.703703703703707,MINOR_ERROR,NA
-2022,3.1,3.1,t,0,MATCH,NA
-2022,0.003,0.003,p,0,MATCH,NA
-2022,0.29,0.3,d,3.448275862068969,MINOR_ERROR,NA
-2022,<.001,3.7019055500954115e-4,p,NA,MATCH,TRUE
-2022,0.02,0.02,p,0,MATCH,NA
-2022,0.03,0.03,p,0,MATCH,NA
